,ecg,eda,acc
983,0.0,0.0,59.0
984,0.0,0.0,63.0
985,0.0,0.0,63.0
986,0.0,0.0,63.0
987,0.0,0.0,63.0
988,0.0,0.0,67.0
989,0.0,670.0,68.0
990,0.0,0.0,67.0
991,0.0,0.0,68.0
992,0.0,0.0,67.0
993,1.0,174.0,68.0
994,0.0,25.0,67.0
995,0.0,105.0,65.0
996,0.0,61.0,64.0
997,0.0,300.0,63.0
998,0.0,157.0,61.0
999,0.0,363.0,60.0
